code,canonical_name,source,wiktionary_url,wikidata_id,family_code,family_name,family_parent_code,ancestor_codes,script_codes,short_description,description_source_urls,description_status,description_model,description_updated_at,metadata
aa,Afar,wiktionary,https://en.wiktionary.org/wiki/Category:Afar_language,Q27811,cus-eas,East Cushitic,cus,"[""afa-pro"",""cus-pro""]","[""Latn"",""Ethi""]",,[],missing,,,{}
aav-pro,Proto-Austroasiatic,wiktionary,https://en.wiktionary.org/wiki/Category:Proto-Austroasiatic_language,,,,,[],[],,[],missing,,,{}
ab,Abkhaz,wiktionary,https://en.wiktionary.org/wiki/Category:Abkhaz_language,Q5111,cau-abz,Abkhaz-Abaza,cau-nwc,"[""cau-nwc-pro"",""cau-abz-pro""]","[""Cyrl"",""Geor"",""Latn""]",,[],missing,,,{}
abe,Abenaki,wiktionary,https://en.wiktionary.org/wiki/Category:Abenaki_language,Q17502788,alg-abp,Abenaki-Penobscot,alg-eas,"[""aql-pro"",""alg-pro""]","[""Latn""]",,[],missing,,,{}
abq,Abaza,wiktionary,https://en.wiktionary.org/wiki/Category:Abaza_language,Q27567,cau-abz,Abkhaz-Abaza,cau-nwc,"[""cau-nwc-pro"",""cau-abz-pro""]","[""Cyrl"",""Latn""]",,[],missing,,,{}
abs,Ambonese Malay,wiktionary,https://en.wiktionary.org/wiki/Category:Ambonese_Malay_language,Q3124354,crp,creole or pidgin,qfa-cnt,"[""ms-old"",""ms-cla"",""ms""]","[""Latn""]",,[],missing,,,{}
abv,Baharna Arabic,wiktionary,https://en.wiktionary.org/wiki/Category:Baharna_Arabic_language,Q56576,sem-arb,Arabic,sem-cen,"[""afa-pro"",""sem-pro"",""sem-wes-pro"",""ar""]","[""Arab""]",,[],missing,,,{}
abx,Inabaknon,wiktionary,https://en.wiktionary.org/wiki/Category:Inabaknon_language,Q2820163,poz-sbj,Sama-Bajaw,poz,"[""map-pro"",""poz-pro""]","[""Latn""]",,[],missing,,,{}
ace,Acehnese,wiktionary,https://en.wiktionary.org/wiki/Category:Acehnese_language,Q27683,cmc,Chamic,poz-mcm,"[""map-pro"",""poz-pro"",""poz-msa-pro"",""poz-mcm-pro"",""cmc-pro""]","[""Latn"",""ms-Arab""]",,[],missing,,,{}
ach,Acholi,wiktionary,https://en.wiktionary.org/wiki/Category:Acholi_language,Q34926,sdv-los,Southern Luo,sdv-luo,"[""sdv-nil-pro""]","[""Latn""]",,[],missing,,,{}
acm,Iraqi Arabic,wiktionary,https://en.wiktionary.org/wiki/Category:Iraqi_Arabic_language,Q56232,sem-arb,Arabic,sem-cen,"[""afa-pro"",""sem-pro"",""sem-wes-pro"",""ar""]","[""Arab"",""Hebr""]",,[],missing,,,{}
acw,Hijazi Arabic,wiktionary,https://en.wiktionary.org/wiki/Category:Hijazi_Arabic_language,Q56608,sem-arb,Arabic,sem-cen,"[""afa-pro"",""sem-pro"",""sem-wes-pro"",""ar""]","[""Arab""]",,[],missing,,,{}
acx,Omani Arabic,wiktionary,https://en.wiktionary.org/wiki/Category:Omani_Arabic_language,Q56630,sem-arb,Arabic,sem-cen,"[""afa-pro"",""sem-pro"",""sem-wes-pro"",""ar""]","[""Arab""]",,[],missing,,,{}
acy,Cypriot Arabic,wiktionary,https://en.wiktionary.org/wiki/Category:Cypriot_Arabic_language,Q56416,sem-arb,Arabic,sem-cen,"[""afa-pro"",""sem-pro"",""sem-wes-pro"",""ar"",""acm""]","[""Latn"",""Grek""]",,[],missing,,,{}
adi,Adi,wiktionary,https://en.wiktionary.org/wiki/Category:Adi_language,Q56440,sit-tan,Tani,sit,"[""sit-pro"",""sit-tan-pro""]","[""Latn""]",,[],missing,,,{}
ady,West Circassian,wiktionary,https://en.wiktionary.org/wiki/Category:West_Circassian_language,Q27776,cau-cir,Circassian,cau-nwc,"[""cau-nwc-pro"",""cau-cir-pro""]","[""Cyrl"",""Latn"",""Arab""]",,[],missing,,,{}
ae,Avestan,wiktionary,https://en.wiktionary.org/wiki/Category:Avestan_language,Q29572,ira-cen,Central Iranian,ira,"[""ine-pro"",""iir-pro"",""ira-pro""]","[""Avst"",""Gujr"",""Deva""]",,[],missing,,,{}
aeb,Tunisian Arabic,wiktionary,https://en.wiktionary.org/wiki/Category:Tunisian_Arabic_language,Q56240,sem-arb,Arabic,sem-cen,"[""afa-pro"",""sem-pro"",""sem-wes-pro"",""ar""]","[""Arab""]",,[],missing,,,{}
aee,Northeast Pashayi,wiktionary,https://en.wiktionary.org/wiki/Category:Northeast_Pashayi_language,Q12642198,inc-pas,Pashayi,inc-dar,"[""ine-pro"",""iir-pro"",""inc-pro"",""inc-ash""]","[""fa-Arab"",""Latn""]",,[],missing,,,{}
aer,Eastern Arrernte,wiktionary,https://en.wiktionary.org/wiki/Category:Eastern_Arrernte_language,Q10728232,aus-rnd,Arandic,aus-pam,"[""aus-pam-pro""]","[""Latn""]",,[],missing,,,{}
af,Afrikaans,wiktionary,https://en.wiktionary.org/wiki/Category:Afrikaans_language,Q14196,gmw-frk,Low Franconian,gmw,"[""ine-pro"",""gem-pro"",""gmw-pro"",""frk"",""odt"",""dum"",""nl""]","[""Latn"",""Arab""]",,[],missing,,,{}
afa-pro,Proto-Afroasiatic,wiktionary,https://en.wiktionary.org/wiki/Category:Proto-Afroasiatic_language,,,,,[],[],,[],missing,,,{}
afb,Gulf Arabic,wiktionary,https://en.wiktionary.org/wiki/Category:Gulf_Arabic_language,Q56385,sem-arb,Arabic,sem-cen,"[""afa-pro"",""sem-pro"",""sem-wes-pro"",""ar""]","[""Arab""]",,[],missing,,,{}
agj,Argobba,wiktionary,https://en.wiktionary.org/wiki/Category:Argobba_language,Q29292,sem-eth,Ethiopian Semitic,sem-wes,"[""afa-pro"",""sem-pro"",""sem-wes-pro""]","[""Ethi""]",,[],missing,,,{}
aho,Ahom,wiktionary,https://en.wiktionary.org/wiki/Category:Ahom_language,Q34778,tai-swe,Southwestern Tai,tai-sap,"[""qfa-tak-pro"",""qfa-bet-pro"",""tai-pro"",""tai-swe-pro""]","[""Ahom""]",,[],missing,,,{}
ahr,Ahirani,wiktionary,https://en.wiktionary.org/wiki/Category:Ahirani_language,Q15549890,raj,Rajasthani,inc-wes,"[""ine-pro"",""iir-pro"",""inc-pro"",""inc-ogu""]","[""Deva""]",,[],missing,,,{}
aht,Ahtna,wiktionary,https://en.wiktionary.org/wiki/Category:Ahtna_language,Q21058,ath-nor,North Athabaskan,ath,"[""xnd-pro"",""ath-pro""]","[""Latn""]",,[],missing,,,{}
aig,Antigua and Barbuda Creole English,wiktionary,https://en.wiktionary.org/wiki/Category:Antigua_and_Barbuda_Creole_English_language,Q3244184,crp,creole or pidgin,qfa-cnt,"[""ine-pro"",""gem-pro"",""gmw-pro"",""gmw-nsg-pro"",""gmw-afr-pro"",""ang"",""enm"",""en-ear"",""en""]","[""Latn""]",,[],missing,,,{}
aih,Ai-Cham,wiktionary,https://en.wiktionary.org/wiki/Category:Ai-Cham_language,Q2827749,qfa-kms,Kam-Sui,qfa-tak,"[""qfa-tak-pro"",""qfa-kms-pro""]","[""Latn"",""Hani""]",,[],missing,,,{}
aii,Assyrian Neo-Aramaic,wiktionary,https://en.wiktionary.org/wiki/Category:Assyrian_Neo-Aramaic_language,Q29440,sem-nna,Northeastern Neo-Aramaic,sem-are,"[""afa-pro"",""sem-pro"",""sem-wes-pro"",""arc""]","[""Syrc""]",,[],missing,,,{}
ain,Ainu,wiktionary,https://en.wiktionary.org/wiki/Category:Ainu_language,Q27969,qfa-ain,Ainuic,,[],"[""Kana"",""Latn"",""Cyrl""]",,[],missing,,,{}
aio,Aiton,wiktionary,https://en.wiktionary.org/wiki/Category:Aiton_language,Q3399725,tai-swe,Southwestern Tai,tai-sap,"[""qfa-tak-pro"",""qfa-bet-pro"",""tai-pro"",""tai-swe-pro""]","[""Mymr""]",,[],missing,,,{}
ajp,South Levantine Arabic,wiktionary,https://en.wiktionary.org/wiki/Category:South_Levantine_Arabic_language,Q55633582,sem-arb,Arabic,sem-cen,"[""afa-pro"",""sem-pro"",""sem-wes-pro"",""ar""]","[""Arab""]",,[],missing,,,{}
ak,Akan,wiktionary,https://en.wiktionary.org/wiki/Category:Akan_language,Q28026,alv-ctn,Central Tano,alv-ptn,"[""nic-pro"",""alv-pro"",""nic-vco-pro"",""alv-kwa-pro""]","[""Latn""]",,[],missing,,,{}
ake,Akawaio,wiktionary,https://en.wiktionary.org/wiki/Category:Akawaio_language,Q28059,sai-pem,Pemongan,sai-ven,"[""sai-car-pro""]","[""Latn""]",,[],missing,,,{}
akk,Akkadian,wiktionary,https://en.wiktionary.org/wiki/Category:Akkadian_language,Q35518,sem-eas,East Semitic,sem,"[""afa-pro"",""sem-pro""]","[""Xsux"",""Latn""]",,[],missing,,,{}
akl,Aklanon,wiktionary,https://en.wiktionary.org/wiki/Category:Aklanon_language,Q8773,phi,Philippine,poz,"[""map-pro"",""poz-pro"",""phi-pro""]","[""Latn""]",,[],missing,,,{}
akv,Akhvakh,wiktionary,https://en.wiktionary.org/wiki/Category:Akhvakh_language,Q56423,cau-and,Andian,cau-ava,"[""cau-nec-pro"",""cau-ava-pro"",""cau-and-pro""]","[""Cyrl""]",,[],missing,,,{}
akz,Alabama,wiktionary,https://en.wiktionary.org/wiki/Category:Alabama_language,Q1815020,nai-mus,Muskogean,,"[""nai-mus-pro""]","[""Latn""]",,[],missing,,,{}
ale,Aleut,wiktionary,https://en.wiktionary.org/wiki/Category:Aleut_language,Q27210,esx,Eskimo-Aleut,,"[""esx-pro""]","[""Latn"",""Cyrl""]",,[],missing,,,{}
alg-pro,Proto-Algonquian,wiktionary,https://en.wiktionary.org/wiki/Category:Proto-Algonquian_language,,,,,"[""aql-pro""]",[],,[],missing,,,{}
alj,Alangan,wiktionary,https://en.wiktionary.org/wiki/Category:Alangan_language,Q3327423,phi,Philippine,poz,"[""map-pro"",""poz-pro"",""phi-pro""]","[""Latn""]",,[],missing,,,{}
aln,Gheg Albanian,wiktionary,,Q181037,,,,"[""ine-pro"",""sqj-pro""]",[],,[],missing,,,{}
alt,Southern Altai,wiktionary,https://en.wiktionary.org/wiki/Category:Southern_Altai_language,Q1991779,trk-kkp,Kyrgyz-Kipchak,trk-kip,"[""trk-pro"",""trk-cmn-pro"",""qwm""]","[""Cyrl""]",,[],missing,,,{}
alv-edk-pro,Proto-Edekiri,wiktionary,https://en.wiktionary.org/wiki/Category:Proto-Edekiri_language,,,,,"[""nic-pro"",""alv-pro"",""nic-vco-pro"",""alv-von-pro"",""alv-yrd-pro""]",[],,[],missing,,,{}
alv-edo-pro,Proto-Edoid,wiktionary,https://en.wiktionary.org/wiki/Category:Proto-Edoid_language,,,,,"[""nic-pro"",""alv-pro"",""nic-vco-pro"",""alv-von-pro""]",[],,[],missing,,,{}
alv-gbe-pro,Proto-Gbe,wiktionary,https://en.wiktionary.org/wiki/Category:Proto-Gbe_language,,,,,"[""nic-pro"",""alv-pro"",""nic-vco-pro"",""alv-von-pro""]",[],,[],missing,,,{}
alv-gng-pro,Proto-Guang,wiktionary,https://en.wiktionary.org/wiki/Category:Proto-Guang_language,,,,,"[""nic-pro"",""alv-pro""]",[],,[],missing,,,{}
alv-gtm-pro,Proto-Central Togo,wiktionary,https://en.wiktionary.org/wiki/Category:Proto-Central_Togo_language,,,,,"[""nic-pro"",""alv-pro"",""nic-vco-pro"",""alv-kwa-pro""]",[],,[],missing,,,{}
alv-igb-pro,Proto-Igboid,wiktionary,https://en.wiktionary.org/wiki/Category:Proto-Igboid_language,,,,,"[""nic-pro"",""alv-pro"",""nic-vco-pro"",""alv-von-pro""]",[],,[],missing,,,{}
alv-kwa-pro,Proto-Kwa,wiktionary,https://en.wiktionary.org/wiki/Category:Proto-Kwa_language,,,,,"[""nic-pro"",""alv-pro"",""nic-vco-pro""]",[],,[],missing,,,{}
alv-nup-pro,Proto-Nupoid,wiktionary,https://en.wiktionary.org/wiki/Category:Proto-Nupoid_language,,,,,"[""nic-pro"",""alv-pro"",""nic-vco-pro"",""alv-von-pro""]",[],,[],missing,,,{}
alv-pro,Proto-Atlantic-Congo,wiktionary,https://en.wiktionary.org/wiki/Category:Proto-Atlantic-Congo_language,,,,,"[""nic-pro""]",[],,[],missing,,,{}
alv-von-pro,Proto-Volta-Niger,wiktionary,https://en.wiktionary.org/wiki/Category:Proto-Volta-Niger_language,,,,,"[""nic-pro"",""alv-pro"",""nic-vco-pro""]",[],,[],missing,,,{}
alv-yor-pro,Proto-Yoruba,wiktionary,https://en.wiktionary.org/wiki/Category:Proto-Yoruba_language,,,,,"[""nic-pro"",""alv-pro"",""nic-vco-pro"",""alv-von-pro"",""alv-yrd-pro"",""alv-edk-pro""]",[],,[],missing,,,{}
alv-yrd-pro,Proto-Yoruboid,wiktionary,https://en.wiktionary.org/wiki/Category:Proto-Yoruboid_language,,,,,"[""nic-pro"",""alv-pro"",""nic-vco-pro"",""alv-von-pro""]",[],,[],missing,,,{}
alw,Alaba,wiktionary,https://en.wiktionary.org/wiki/Category:Alaba_language,Q56652,cus-hec,Highland East Cushitic,cus-eas,"[""afa-pro"",""cus-pro"",""cus-hec-pro""]","[""Latn""]",,[],missing,,,{}
am,Amharic,wiktionary,https://en.wiktionary.org/wiki/Category:Amharic_language,Q28244,sem-eth,Ethiopian Semitic,sem-wes,"[""afa-pro"",""sem-pro"",""sem-wes-pro""]","[""Ethi""]",,[],missing,,,{}
ami,Amis,wiktionary,https://en.wiktionary.org/wiki/Category:Amis_language,Q35132,map,Austronesian,,"[""map-pro""]","[""Latn""]",,[],missing,,,{}
amu,Guerrero Amuzgo,wiktionary,https://en.wiktionary.org/wiki/Category:Guerrero_Amuzgo_language,Q3501942,omq,Oto-Manguean,,"[""omq-pro""]","[""Latn""]",,[],missing,,,{}
an,Aragonese,wiktionary,https://en.wiktionary.org/wiki/Category:Aragonese_language,Q8765,roa-nar,Navarro-Aragonese,roa-ibe,"[""la-vul"",""roa-pro"",""roa-ona""]","[""Latn""]",,[],missing,,,{}
ane,Xârâcùù,wiktionary,https://en.wiktionary.org/wiki/Category:X%C3%A2r%C3%A2c%C3%B9%C3%B9_language,Q3571097,poz-cln,New Caledonian,poz-ocs,"[""map-pro"",""poz-pro"",""poz-cet-pro"",""pqe-pro"",""poz-oce-pro""]","[""Latn""]",,[],missing,,,{}
ang,Old English,wiktionary,https://en.wiktionary.org/wiki/Category:Old_English_language,Q42365,gmw-ang,Anglic,gmw-afr,"[""ine-pro"",""gem-pro"",""gmw-pro"",""gmw-nsg-pro"",""gmw-afr-pro""]","[""Latn"",""Runr""]",,[],missing,,,{}
ang-ang,Anglian Old English,wiktionary,https://en.wiktionary.org/wiki/Category:Terms_derived_from_Anglian_Old_English_by_language,Q121142917,,,,"[""ine-pro"",""gem-pro"",""gmw-pro"",""gmw-nsg-pro"",""gmw-afr-pro"",""ang""]",[],,[],missing,,,{}
ang-nor,Northumbrian Old English,wiktionary,https://en.wiktionary.org/wiki/Category:Terms_derived_from_Northumbrian_Old_English_by_language,Q1798915,,,,[],[],,[],missing,,,{}
ani,Andi,wiktionary,https://en.wiktionary.org/wiki/Category:Andi_language,Q34849,cau-and,Andian,cau-ava,"[""cau-nec-pro"",""cau-ava-pro"",""cau-and-pro""]","[""Cyrl""]",,[],missing,,,{}
aoa,Angolar,wiktionary,https://en.wiktionary.org/wiki/Category:Angolar_language,Q34994,crp,creole or pidgin,qfa-cnt,"[""la-vul"",""roa-pro"",""roa-opt"",""pt""]","[""Latn""]",,[],missing,,,{}
aoc,Pemon,wiktionary,https://en.wiktionary.org/wiki/Category:Pemon_language,Q10729616,sai-pem,Pemongan,sai-ven,"[""sai-car-pro""]","[""Latn""]",,[],missing,,,{}
aot,Atong (India),wiktionary,https://en.wiktionary.org/wiki/Category:Atong_(India)_language,Q5646,tbq-bdg,Bodo-Garo,tbq-bkj,"[""sit-pro"",""tbq-pro"",""tbq-bdg-pro""]","[""Latn"",""Beng""]",,[],missing,,,{}
apa-pro,Proto-Apachean,wiktionary,https://en.wiktionary.org/wiki/Category:Proto-Apachean_language,,,,,"[""xnd-pro"",""ath-pro""]",[],,[],missing,,,{}
apc,North Levantine Arabic,wiktionary,https://en.wiktionary.org/wiki/Category:North_Levantine_Arabic_language,Q22809485,sem-arb,Arabic,sem-cen,"[""afa-pro"",""sem-pro"",""sem-wes-pro"",""ar""]","[""Arab""]",,[],missing,,,{}
apd,Sudanese Arabic,wiktionary,https://en.wiktionary.org/wiki/Category:Sudanese_Arabic_language,Q56573,sem-arb,Arabic,sem-cen,"[""afa-pro"",""sem-pro"",""sem-wes-pro"",""ar""]","[""Arab""]",,[],missing,,,{}
apj,Jicarilla,wiktionary,https://en.wiktionary.org/wiki/Category:Jicarilla_language,Q28277,apa,Apachean,ath,"[""xnd-pro"",""ath-pro"",""apa-pro""]","[""Latn""]",,[],missing,,,{}
apw,Western Apache,wiktionary,https://en.wiktionary.org/wiki/Category:Western_Apache_language,Q28060,apa,Apachean,ath,"[""xnd-pro"",""ath-pro"",""apa-pro""]","[""Latn""]",,[],missing,,,{}
apy,Apalaí,wiktionary,https://en.wiktionary.org/wiki/Category:Apala%C3%AD_language,Q2736980,sai-gui,Guianan,sai-car,"[""sai-car-pro""]","[""Latn""]",,[],missing,,,{}
aql-pro,Proto-Algic,wiktionary,https://en.wiktionary.org/wiki/Category:Proto-Algic_language,,,,,[],[],,[],missing,,,{}
ar,Arabic,wiktionary,https://en.wiktionary.org/wiki/Category:Arabic_language,Q13955,sem-arb,Arabic,sem-cen,"[""afa-pro"",""sem-pro"",""sem-wes-pro""]","[""Arab"",""Hebr"",""Syrc"",""Brai"",""Nbat""]",,[],missing,,,{}
arc,Aramaic,wiktionary,https://en.wiktionary.org/wiki/Category:Aramaic_language,Q28602,sem-ara,Aramaic,sem-nwe,"[""afa-pro"",""sem-pro"",""sem-wes-pro""]","[""Hebr"",""Armi"",""Syrc"",""Palm"",""Nbat"",""Phnx"",""Mand"",""Samr"",""Hatr"",""Elym""]",,[],missing,,,{}
arc-imp,Imperial Aramaic,wiktionary,https://en.wiktionary.org/wiki/Category:Terms_derived_from_Imperial_Aramaic_by_language,Q7079491,,,,"[""afa-pro"",""sem-pro"",""sem-wes-pro"",""arc""]",[],,[],missing,,,{}
arh,Arhuaco,wiktionary,https://en.wiktionary.org/wiki/Category:Arhuaco_language,Q2640621,cba,Chibchan,qfa-mch,"[""cba-pro""]","[""Latn""]",,[],missing,,,{}
ari,Arikara,wiktionary,https://en.wiktionary.org/wiki/Category:Arikara_language,Q56539,cdd,Caddoan,,"[""cdd-pro""]","[""Latn""]",,[],missing,,,{}
arn,Mapudungun,wiktionary,https://en.wiktionary.org/wiki/Category:Mapudungun_language,Q33730,sai-ara,Araucanian,,[],"[""Latn""]",,[],missing,,,{}
arp,Arapaho,wiktionary,https://en.wiktionary.org/wiki/Category:Arapaho_language,Q56417,alg-ara,Arapahoan,alg,"[""aql-pro"",""alg-pro""]","[""Latn""]",,[],missing,,,{}
arq,Algerian Arabic,wiktionary,https://en.wiktionary.org/wiki/Category:Algerian_Arabic_language,Q56499,sem-arb,Arabic,sem-cen,"[""afa-pro"",""sem-pro"",""sem-wes-pro"",""ar""]","[""Arab""]",,[],missing,,,{}
arw,Lokono,wiktionary,https://en.wiktionary.org/wiki/Category:Lokono_language,Q2655664,awd-taa,Ta-Arawak,awd,"[""awd-pro"",""awd-taa-pro""]","[""Latn""]",,[],missing,,,{}
ary,Moroccan Arabic,wiktionary,https://en.wiktionary.org/wiki/Category:Moroccan_Arabic_language,Q56426,sem-arb,Arabic,sem-cen,"[""afa-pro"",""sem-pro"",""sem-wes-pro"",""ar""]","[""Arab""]",,[],missing,,,{}
arz,Egyptian Arabic,wiktionary,https://en.wiktionary.org/wiki/Category:Egyptian_Arabic_language,Q29919,sem-arb,Arabic,sem-cen,"[""afa-pro"",""sem-pro"",""sem-wes-pro"",""ar""]","[""Arab""]",,[],missing,,,{}
as,Assamese,wiktionary,https://en.wiktionary.org/wiki/Category:Assamese_language,Q29401,inc-bas,Bengali-Assamese,inc-eas,"[""ine-pro"",""iir-pro"",""inc-pro"",""inc-mas""]","[""as-Beng""]",,[],missing,,,{}
ase,American Sign Language,wiktionary,https://en.wiktionary.org/wiki/Category:American_Sign_Language,Q14759,sgn,sign,qfa-not,[],"[""Sgnw""]",,[],missing,,,{}
asl,Asilulu,wiktionary,https://en.wiktionary.org/wiki/Category:Asilulu_language,Q12473347,poz-cma,Central Maluku,poz-cet,"[""map-pro"",""poz-pro"",""poz-cet-pro""]","[""Latn""]",,[],missing,,,{}
ast,Asturian,wiktionary,https://en.wiktionary.org/wiki/Category:Asturian_language,Q29507,roa-asl,Asturleonese,roa-ibe,"[""la-vul"",""roa-pro"",""roa-ole""]","[""Latn""]",,[],missing,,,{}
asz,As,wiktionary,https://en.wiktionary.org/wiki/Category:As_language,Q2866218,poz-hce,Halmahera-Cenderawasih,pqe,"[""map-pro"",""poz-pro"",""poz-cet-pro"",""pqe-pro"",""poz-hce-pro""]","[""Latn""]",,[],missing,,,{}
atb,Zaiwa,wiktionary,https://en.wiktionary.org/wiki/Category:Zaiwa_language,Q56594,tbq-brm,Burmish,tbq-lob,"[""sit-pro"",""tbq-pro"",""tbq-lob-pro"",""tbq-brm-pro""]","[""Latn"",""Lisu""]",,[],missing,,,{}
ath-pro,Proto-Athabaskan,wiktionary,https://en.wiktionary.org/wiki/Category:Proto-Athabaskan_language,,,,,"[""xnd-pro""]",[],,[],missing,,,{}
aus-cww-pro,Proto-Central New South Wales,wiktionary,https://en.wiktionary.org/wiki/Category:Proto-Central_New_South_Wales_language,,,,,"[""aus-pam-pro""]",[],,[],missing,,,{}
aus-pam-pro,Proto-Pama-Nyungan,wiktionary,https://en.wiktionary.org/wiki/Category:Proto-Pama-Nyungan_language,,,,,[],[],,[],missing,,,{}
av,Avar,wiktionary,https://en.wiktionary.org/wiki/Category:Avar_language,Q29561,cau-ava,Avaro-Andian,cau-nec,"[""cau-nec-pro"",""cau-ava-pro"",""oav""]","[""Cyrl"",""Latn"",""Arab""]",,[],missing,,,{}
awa,Awadhi,wiktionary,https://en.wiktionary.org/wiki/Category:Awadhi_language,Q29579,inc-hie,Eastern Hindi,inc-cen,"[""ine-pro"",""iir-pro"",""inc-pro"",""inc-oaw""]","[""Deva"",""Kthi"",""fa-Arab""]",,[],missing,,,{}
awd-pro,Proto-Arawak,wiktionary,https://en.wiktionary.org/wiki/Category:Proto-Arawak_language,,,,,[],[],,[],missing,,,{}
awd-taa-pro,Proto-Ta-Arawak,wiktionary,https://en.wiktionary.org/wiki/Category:Proto-Ta-Arawak_language,,,,,"[""awd-pro""]",[],,[],missing,,,{}
awt,Araweté,wiktionary,https://en.wiktionary.org/wiki/Category:Arawet%C3%A9_language,Q4784535,tup-gua,Tupi-Guarani,tup,"[""tup-pro"",""tup-gua-pro""]","[""Latn""]",,[],missing,,,{}
axm,Middle Armenian,wiktionary,https://en.wiktionary.org/wiki/Category:Middle_Armenian_language,Q4438498,hyx,Armenian,ine,"[""ine-pro"",""hyx-pro"",""xcl""]","[""Armn""]",,[],missing,,,{}
ay,Aymara,wiktionary,https://en.wiktionary.org/wiki/Category:Aymara_language,Q4627,sai-aym,Aymaran,,[],"[""Latn""]",,[],missing,,,{}
ayl,Libyan Arabic,wiktionary,https://en.wiktionary.org/wiki/Category:Libyan_Arabic_language,Q56503,sem-arb,Arabic,sem-cen,"[""afa-pro"",""sem-pro"",""sem-wes-pro"",""ar""]","[""Arab""]",,[],missing,,,{}
ayn,Yemeni Arabic,wiktionary,https://en.wiktionary.org/wiki/Category:Yemeni_Arabic_language,Q1686766,sem-arb,Arabic,sem-cen,"[""afa-pro"",""sem-pro"",""sem-wes-pro"",""ar""]","[""Arab"",""Hebr""]",,[],missing,,,{}
az,Azerbaijani,wiktionary,https://en.wiktionary.org/wiki/Category:Azerbaijani_language,Q9292,trk-ogz,Oghuz,trk-cmn,"[""trk-pro"",""trk-oat""]","[""Latn"",""Cyrl"",""fa-Arab""]",,[],missing,,,{}
azc-cup-pro,Proto-Cupan,wiktionary,https://en.wiktionary.org/wiki/Category:Proto-Cupan_language,,,,,"[""azc-pro"",""azc-tak-pro""]",[],,[],missing,,,{}
azc-nah-pro,Proto-Nahuan,wiktionary,https://en.wiktionary.org/wiki/Category:Proto-Nahuan_language,,,,,"[""azc-pro""]",[],,[],missing,,,{}
azc-pro,Proto-Uto-Aztecan,wiktionary,https://en.wiktionary.org/wiki/Category:Proto-Uto-Aztecan_language,,,,,[],[],,[],missing,,,{}
azc-tak-pro,Proto-Takic,wiktionary,https://en.wiktionary.org/wiki/Category:Proto-Takic_language,,,,,"[""azc-pro""]",[],,[],missing,,,{}
azg,San Pedro Amuzgos Amuzgo,wiktionary,https://en.wiktionary.org/wiki/Category:San_Pedro_Amuzgos_Amuzgo_language,Q35092,omq,Oto-Manguean,,"[""omq-pro""]","[""Latn""]",,[],missing,,,{}
azz,Highland Puebla Nahuatl,wiktionary,https://en.wiktionary.org/wiki/Category:Highland_Puebla_Nahuatl_language,Q12953754,azc-nah,Nahuan,azc,"[""azc-pro"",""azc-nah-pro""]","[""Latn""]",,[],missing,,,{}
ba,Bashkir,wiktionary,https://en.wiktionary.org/wiki/Category:Bashkir_language,Q13389,trk-kbu,Kipchak-Bulgar,trk-kip,"[""trk-pro"",""trk-cmn-pro"",""qwm""]","[""Cyrl""]",,[],missing,,,{}
bah,Bahamian Creole,wiktionary,https://en.wiktionary.org/wiki/Category:Bahamian_Creole_language,Q2669229,crp,creole or pidgin,qfa-cnt,"[""ine-pro"",""gem-pro"",""gmw-pro"",""gmw-nsg-pro"",""gmw-afr-pro"",""ang"",""enm"",""en-ear"",""en""]","[""Latn""]",,[],missing,,,{}
bal,Baluchi,wiktionary,https://en.wiktionary.org/wiki/Category:Baluchi_language,Q33049,ira-nwi,Northwestern Iranian,ira-wes,"[""ine-pro"",""iir-pro"",""ira-pro""]","[""fa-Arab""]",,[],missing,,,{}
ban,Balinese,wiktionary,https://en.wiktionary.org/wiki/Category:Balinese_language,Q33070,poz-bss,Bali-Sasak-Sumbawa,poz-msa,"[""map-pro"",""poz-pro"",""poz-msa-pro""]","[""Latn"",""Bali""]",,[],missing,,,{}
bar,Bavarian,wiktionary,https://en.wiktionary.org/wiki/Category:Bavarian_language,Q29540,gmw-hgm,High German,gmw,"[""ine-pro"",""gem-pro"",""gmw-pro"",""goh"",""gmh""]","[""Latn""]",,[],missing,,,{}
bat-pro,Proto-Baltic,wiktionary,https://en.wiktionary.org/wiki/Category:Terms_derived_from_Proto-Baltic_by_language,Q1703347,,,,"[""ine-pro"",""ine-bsl-pro""]",[],,[],missing,,,{}
bba,Baatonum,wiktionary,https://en.wiktionary.org/wiki/Category:Baatonum_language,Q34889,alv-sav,Savanna,nic-vco,"[""nic-pro"",""alv-pro"",""nic-vco-pro""]","[""Latn""]",,[],missing,,,{}
bbc,Toba Batak,wiktionary,https://en.wiktionary.org/wiki/Category:Toba_Batak_language,Q33017,btk,Batak,poz-nws,"[""btk-pro""]","[""Latn"",""Batk""]",,[],missing,,,{}
bbl,Bats,wiktionary,https://en.wiktionary.org/wiki/Category:Bats_language,Q33259,cau-nkh,Nakh,cau-nec,"[""cau-nec-pro"",""cau-nkh-pro""]","[""Geor""]",,[],missing,,,{}
bcl,Central Bikol,wiktionary,https://en.wiktionary.org/wiki/Category:Central_Bikol_language,Q33284,phi,Philippine,poz,"[""map-pro"",""poz-pro"",""phi-pro""]","[""Latn"",""Tglg""]",,[],missing,,,{}
