code,canonical_name,source,wiktionary_url,wikidata_id,family_code,family_name,family_parent_code,ancestor_codes,script_codes,short_description,description_source_urls,description_status,description_model,description_updated_at,metadata
gin,Hinukh,wiktionary,https://en.wiktionary.org/wiki/Category:Hinukh_language,Q33283,cau-wts,West Tsezian,cau-tsz,"[""cau-nec-pro"",""cau-tsz-pro""]","[""Cyrl""]",,[],missing,,,{}
gju,Gojri,wiktionary,https://en.wiktionary.org/wiki/Category:Gojri_language,Q3241731,raj,Rajasthani,inc-wes,"[""ine-pro"",""iir-pro"",""inc-pro"",""inc-ogu""]","[""ur-Arab"",""Deva"",""Takr""]",,[],missing,,,{}
gkm,Byzantine Greek,wiktionary,https://en.wiktionary.org/wiki/Category:Terms_derived_from_Byzantine_Greek_by_language,Q36387,,,,"[""ine-pro"",""grk-pro"",""grc-att"",""grc-koi""]",[],,[],missing,,,{}
gl,Galician,wiktionary,https://en.wiktionary.org/wiki/Category:Galician_language,Q9307,roa-gap,Galician-Portuguese,roa-ibe,"[""la-vul"",""roa-pro"",""roa-opt""]","[""Latn""]",,[],missing,,,{}
glh,Northwest Pashayi,wiktionary,https://en.wiktionary.org/wiki/Category:Northwest_Pashayi_language,Q23713532,inc-pas,Pashayi,inc-dar,"[""ine-pro"",""iir-pro"",""inc-pro"",""inc-ash""]","[""fa-Arab""]",,[],missing,,,{}
glk,Gilaki,wiktionary,https://en.wiktionary.org/wiki/Category:Gilaki_language,Q33657,ira-csp,Caspian,ira-mpr,"[""ine-pro"",""iir-pro"",""ira-pro"",""ira-mpr-pro""]","[""fa-Arab""]",,[],missing,,,{}
gme-cgo,Crimean Gothic,wiktionary,https://en.wiktionary.org/wiki/Category:Crimean_Gothic_language,,,,,[],[],,[],missing,,,{}
gmh,Middle High German,wiktionary,https://en.wiktionary.org/wiki/Category:Middle_High_German_language,Q837985,gmw-hgm,High German,gmw,"[""ine-pro"",""gem-pro"",""gmw-pro"",""goh""]","[""Latn""]",,[],missing,,,{}
gml,Middle Low German,wiktionary,https://en.wiktionary.org/wiki/Category:Middle_Low_German_language,Q505674,gmw-lgm,Low German,gmw-nsg,"[""ine-pro"",""gem-pro"",""gmw-pro"",""gmw-nsg-pro"",""osx""]","[""Latn""]",,[],missing,,,{}
gmq-gut,Gutnish,wiktionary,https://en.wiktionary.org/wiki/Category:Gutnish_language,,,,,"[""ine-pro"",""gem-pro"",""gmq-pro""]",[],,[],missing,,,{}
gmq-jmk,Jamtish,wiktionary,https://en.wiktionary.org/wiki/Category:Jamtish_language,,,,,"[""ine-pro"",""gem-pro"",""gmq-pro""]",[],,[],missing,,,{}
gmq-mno,Middle Norwegian,wiktionary,https://en.wiktionary.org/wiki/Category:Middle_Norwegian_language,,,,,"[""ine-pro"",""gem-pro"",""gmq-pro""]",[],,[],missing,,,{}
gmq-oda,Old Danish,wiktionary,https://en.wiktionary.org/wiki/Category:Old_Danish_language,,,,,"[""ine-pro"",""gem-pro"",""gmq-pro""]",[],,[],missing,,,{}
gmq-ogt,Old Gutnish,wiktionary,https://en.wiktionary.org/wiki/Category:Old_Gutnish_language,,,,,"[""ine-pro"",""gem-pro"",""gmq-pro""]",[],,[],missing,,,{}
gmq-osw,Old Swedish,wiktionary,https://en.wiktionary.org/wiki/Category:Old_Swedish_language,,,,,"[""ine-pro"",""gem-pro"",""gmq-pro""]",[],,[],missing,,,{}
gmq-osw-lat,Late Old Swedish,wiktionary,https://en.wiktionary.org/wiki/Category:Terms_derived_from_Late_Old_Swedish_by_language,Q10723594,,,,"[""ine-pro"",""gem-pro"",""gmq-pro"",""gmq-osw""]",[],,[],missing,,,{}
gmq-pro,Proto-Norse,wiktionary,https://en.wiktionary.org/wiki/Category:Proto-Norse_language,,,,,"[""ine-pro"",""gem-pro""]",[],,[],missing,,,{}
gmq-scy,Scanian,wiktionary,https://en.wiktionary.org/wiki/Category:Scanian_language,,,,,"[""ine-pro"",""gem-pro"",""gmq-pro""]",[],,[],missing,,,{}
